79,46,54,61,59,62,77,73,80,97,105,119,95,129,135,129,110,124,141,162,192,199,226,238,261,240,275,284,305,277,362,379,411,408,388,458,466,529,517,545,574,554,595,645,673,647,701,720,791,782,816,835,828,904,868,921,982,1039,1050,1076,1135,1143,1152,1266,1244,1285,1287,1441,1379,1397,1430,1427,1472,1574,1624,1657,1684,1682,1785,1777,1765,1792,1812,1883,1988,1977,2048,2050,2108,2138,2163,2272,2272,2283,2284,2278,2322,2365,2402,2492,2505,2488,2608,2464,2607,2592,2629,2777,2751,2668,2737,2776,2827,2783,2833,2946,2874,2995,2909,2962,3079,3152,3121,3155,3197,3169,3201,3201,3305,3206,3144,3209,3294,3248,3297,3203,3245,3351,3382,3347,3399,3315,3391,3542,3351,3511,3374,3497,3508,3499,3533,3471,3562,3507,3472,3476,3597,3626,3551,3493,3471,3492,3477,3615,3624,3591,3609,3551,3578,3773,3700,3633,3677,3563,3591,3603,3624,3503,3670,3542,3592,3514,3628,3471,3610,3505,3529,3473,3427,3531,3497,3352,3451,3359,3239,3247,3055,2898,2981,0,
104,45,69,80,65,76,87,94,91,106,96,117,126,135,135,156,160,173,179,162,219,202,244,246,254,282,270,305,331,360,334,378,375,468,460,418,484,484,522,541,576,604,585,644,672,695,709,788,776,877,829,858,918,966,940,961,1015,1076,1110,1177,1161,1170,1208,1260,1304,1330,1359,1489,1441,1497,1546,1540,1521,1609,1657,1746,1720,1806,1790,1839,1877,1950,1903,2012,1960,1982,2099,2101,2165,2142,2216,2270,2290,2348,2325,2335,2431,2483,2541,2498,2504,2579,2623,2637,2700,2746,2879,2772,2808,2850,2890,2932,2872,3016,2987,3003,3030,3097,3101,3122,3178,3218,3213,3209,3195,3228,3236,3296,3354,3339,3415,3374,3397,3421,3448,3506,3568,3544,3521,3538,3564,3590,3595,3604,3689,3616,3589,3573,3638,3629,3650,3851,3692,3778,3856,3705,3814,3776,3761,3843,3666,3751,3891,3803,3743,3902,3889,3866,3739,3830,3933,3919,3876,3912,3876,3883,3897,3932,3878,3919,3831,3803,3777,3755,3763,3760,3812,3760,3741,3691,3702,3709,3501,3546,3392,3372,3292,3074,3426,0,
111,64,89,78,81,83,118,95,107,126,113,128,142,141,199,160,205,198,214,221,252,269,282,298,304,330,316,334,380,437,456,445,424,522,576,556,562,551,620,665,667,692,737,770,750,821,838,856,949,951,1085,1015,1058,1092,1146,1157,1211,1261,1338,1314,1384,1424,1455,1447,1512,1572,1599,1674,1711,1769,1711,1861,1817,1965,1979,1923,2046,2120,2102,2083,2182,2263,2173,2273,2262,2347,2447,2472,2514,2462,2597,2675,2695,2743,2801,2764,2862,2847,2989,3040,3124,2982,3153,3023,3170,3213,3228,3231,3278,3317,3274,3360,3406,3544,3547,3628,3597,3560,3630,3551,3816,3704,3677,3768,3816,3847,3916,3895,3963,3956,4024,3987,3990,4059,4169,3949,4047,4174,4162,4128,4105,4239,4325,4258,4229,4257,4185,4278,4198,4312,4286,4298,4356,4427,4479,4461,4394,4346,4468,4446,4480,4316,4588,4422,4549,4513,4521,4526,4437,4588,4630,4452,4511,4547,4588,4515,4452,4653,4615,4496,4538,4622,4439,4556,4486,4399,4389,4311,4307,4377,4396,4212,4219,4125,4047,3946,3816,3448,3738,0,
120,76,101,87,93,96,82,116,113,119,152,157,186,173,187,217,221,195,273,257,270,307,301,342,343,377,364,430,440,476,503,467,508,549,557,572,598,692,697,740,741,776,851,860,923,926,1037,1022,1095,1082,1088,1197,1185,1313,1344,1354,1433,1437,1523,1520,1544,1563,1627,1702,1742,1849,1794,1883,1902,1957,2021,2131,2155,2260,2239,2251,2302,2383,2387,2392,2472,2458,2617,2657,2704,2740,2724,2760,2871,3014,3054,3002,3112,3013,3218,3208,3311,3373,3319,3284,3381,3478,3580,3462,3487,3611,3662,3692,3808,3720,3856,3879,3940,4012,3938,4096,4150,4089,4131,4168,4222,4152,4294,4314,4221,4362,4391,4310,4388,4504,4553,4688,4515,4612,4564,4647,4611,4631,4666,4791,4724,4734,4771,4852,4847,4715,4857,4868,4751,4764,4884,4887,4944,4939,5006,4972,5013,4942,5042,5014,5049,5206,5057,5023,4987,5024,4956,4950,4921,5069,5114,5081,4997,5135,5127,5089,5014,5082,5264,4932,5065,5086,5055,5068,5213,5029,5053,4953,4954,4860,4799,4757,4733,4690,4601,4479,4203,3753,4084,0,
128,88,80,86,116,116,118,120,137,160,155,176,182,166,204,215,217,217,247,288,291,314,361,378,347,410,420,478,495,534,526,554,587,625,659,733,760,728,857,851,888,848,943,1057,1091,1090,1142,1139,1184,1242,1279,1287,1343,1354,1458,1522,1603,1571,1614,1732,1735,1758,1793,1852,1941,2000,2060,2108,2159,2281,2315,2357,2404,2405,2522,2536,2670,2569,2739,2690,2734,2830,2913,2927,3048,3005,3148,3064,3256,3264,3346,3353,3393,3470,3360,3503,3633,3717,3731,3783,3757,3924,3837,3967,4029,3958,4041,4196,4272,4254,4338,4294,4325,4524,4393,4451,4484,4564,4585,4493,4674,4673,4748,4818,4866,4736,4948,4932,5040,4822,5083,5003,5023,5027,5033,4932,5116,5137,5192,5265,5325,5265,5230,5396,5307,5343,5399,5302,5355,5163,5514,5524,5458,5494,5466,5459,5502,5563,5512,5604,5581,5498,5617,5552,5529,5583,5494,5438,5497,5695,5519,5587,5487,5654,5579,5571,5662,5603,5755,5657,5566,5551,5557,5591,5427,5540,5420,5555,5442,5389,5435,5301,5234,5113,5023,4795,4520,4126,4373,0,
107,83,87,114,115,140,121,161,157,159,191,187,190,212,226,252,268,285,280,307,352,349,403,430,445,433,478,513,555,579,584,625,704,718,709,806,807,848,856,979,1050,1021,1012,1155,1097,1188,1185,1249,1403,1347,1480,1456,1439,1626,1632,1697,1721,1785,1849,1854,2008,2034,2044,2124,2149,2248,2226,2407,2449,2506,2540,2614,2719,2629,2670,2808,2786,2904,2917,3002,3148,3257,3293,3208,3292,3353,3399,3522,3610,3598,3688,3757,3768,3866,3882,3953,3976,3990,4279,4197,4101,4327,4229,4419,4427,4553,4480,4575,4569,4503,4694,4658,4666,4776,4885,4871,4970,5047,5122,5107,5105,5081,5105,5242,5215,5277,5304,5502,5342,5561,5541,5447,5524,5491,5475,5635,5576,5725,5723,5548,5743,5778,5730,5853,5876,5861,5882,5982,5862,5995,5961,5889,6114,5999,6036,6029,6060,6182,6109,5959,5927,6108,6061,6096,6102,6110,6020,6025,6138,6234,6203,6179,6016,6088,6089,6120,6148,6210,6135,6157,6118,6096,6006,6045,6056,6068,6016,6010,5968,5863,5864,5785,5770,5497,5470,5263,4925,4405,4808,0,
118,110,89,115,131,142,138,172,178,195,182,205,207,199,249,291,298,287,359,348,364,403,448,492,455,522,551,540,622,656,633,741,750,778,777,844,890,944,1035,1018,1110,1142,1200,1265,1315,1304,1415,1427,1429,1477,1525,1606,1710,1797,1830,1848,1899,2079,2021,2026,2121,2249,2306,2298,2334,2523,2644,2598,2738,2731,2811,3023,2924,2990,3004,3104,3152,3233,3307,3425,3409,3510,3623,3632,3552,3776,3852,3725,3891,4026,4011,4077,4192,4284,4196,4299,4315,4460,4498,4477,4522,4773,4747,4715,4779,4971,5018,5015,5150,4971,5052,5170,5290,5111,5361,5402,5405,5469,5412,5582,5528,5561,5547,5692,5757,5893,5793,5824,5990,5970,6056,6035,5877,6093,6148,6100,6166,6110,6113,6257,6195,6196,6444,6336,6278,6355,6333,6339,6369,6456,6410,6463,6429,6569,6608,6451,6618,6542,6571,6463,6529,6548,6651,6542,6585,6525,6506,6407,6525,6735,6567,6679,6696,6627,6616,6662,6638,6550,6508,6621,6680,6559,6599,6645,6618,6618,6373,6436,6433,6500,6382,6513,6218,6124,5797,5636,5332,4872,5225,0,
120,91,96,105,128,117,154,159,159,178,199,228,227,259,271,277,327,346,339,395,392,480,495,476,541,575,578,605,694,709,761,807,815,941,920,981,1019,1086,1114,1151,1223,1276,1281,1388,1407,1458,1467,1552,1598,1623,1832,1838,1868,1932,1937,2026,2134,2199,2294,2331,2435,2464,2488,2605,2588,2713,2765,2943,3097,2986,3226,3140,3250,3349,3355,3296,3551,3589,3672,3796,3747,3787,3940,3805,3930,4136,4244,4137,4379,4364,4465,4530,4512,4661,4765,4743,4875,4895,5054,5045,5116,5106,5256,5303,5272,5323,5433,5524,5537,5543,5714,5662,5646,5827,5905,5891,5932,5927,6012,6027,6024,6084,6196,6150,6384,6351,6361,6467,6460,6442,6496,6450,6637,6809,6489,6726,6660,6752,6692,6662,6799,6787,6829,6835,6828,6954,6959,6896,6991,7053,7070,7076,7018,7016,6910,7082,6922,6968,7044,7106,7176,7079,7136,7043,7136,7104,7010,7165,7011,7118,7215,7135,7119,7074,7282,7193,7220,7020,7236,7079,7123,7080,6972,7122,7070,7123,6938,6910,6985,7009,6873,6796,6586,6406,6359,6030,5729,5161,5513,0,
141,112,118,115,122,157,170,185,219,212,250,236,254,268,290,305,321,372,389,434,415,498,499,586,593,640,678,704,735,792,805,858,939,961,1058,1064,1143,1157,1235,1280,1346,1450,1496,1540,1489,1668,1741,1808,1804,1907,2000,2123,2094,2147,2209,2273,2335,2399,2580,2693,2689,2657,2850,2932,2901,3051,3124,3165,3257,3312,3531,3502,3548,3633,3766,3736,3817,3906,4035,4044,4100,4207,4357,4329,4408,4543,4495,4609,4807,4930,4811,4922,4926,5067,5286,5492,5358,5411,5442,5586,5784,5637,5685,5803,5913,5782,6026,6008,6017,6099,6114,6217,6367,6277,6355,6414,6476,6378,6491,6616,6651,6781,6691,6707,6845,6860,6969,6978,7056,7134,7224,7125,7217,7236,7326,7345,7246,7157,7406,7338,7248,7458,7396,7548,7459,7488,7480,7655,7589,7615,7555,7783,7728,7587,7730,7619,7760,7686,7494,7698,7645,7678,7781,7711,7711,7953,7769,7685,7725,7629,7679,7765,7809,7734,7676,7795,7658,7685,7674,7697,7608,7691,7704,7619,7546,7689,7659,7514,7439,7234,7361,7234,6923,6909,6680,6415,6167,5446,5992,0,
180,118,129,114,127,141,158,195,213,244,199,228,277,309,312,361,412,430,473,462,513,515,569,643,619,747,736,750,864,861,890,973,1045,1063,1166,1175,1173,1287,1345,1392,1481,1570,1653,1726,1744,1877,1946,1917,1956,2138,2178,2335,2296,2396,2504,2570,2667,2713,2847,2878,2996,3123,3141,3127,3302,3270,3459,3667,3514,3726,3717,3836,3947,3999,4093,4123,4370,4309,4338,4505,4558,4813,4677,4825,4906,4902,5099,5104,5324,5226,5371,5339,5645,5613,5512,5816,5833,5924,5856,6030,6115,6137,6175,6305,6385,6360,6585,6542,6785,6663,6652,6801,6764,6919,6738,6986,7053,7087,7215,7175,7148,7330,7321,7254,7466,7348,7724,7541,7720,7594,7715,7658,7798,7677,7885,7795,8094,7799,7852,7925,7955,7841,8150,7911,8135,8143,8145,8056,8133,8194,8390,7967,8098,8227,8233,8346,8221,8103,8228,8174,8193,8206,8255,8228,8238,8309,8358,8324,8414,8247,8180,8361,8398,8309,8325,8201,8241,8216,8257,8185,8053,8153,8316,8125,8066,7894,8137,8084,7893,7780,7906,7557,7470,7453,7171,6914,6636,5935,6499,0,
